DOMAINPRODUCTGROUP,COUNTRY,PERIOD,REPORTINGCHANNEL,BRAND,Item,AIRPLAY,GOOGLECAST/HOME,CONSUMP STANDBY,CONSUMPTION W,CURVED SCREEN,DISPLAY TECHNOL,HD TYPES,LED,RESOLUTION,SCREEN FORMAT,Signal Source,HDMI STANDARD,SIZE/INCH,Smart TV,SMART TV UI,HDR & DOLBY VIS,OPERATING SYST.,DTSX/DOLATMOS,DTSVIX/DOLHEIVI,GPU SYNC,MINILED BACKLIT,OLED/QLED,SERIES,SMART CONNECT,VERTICAL FREQ.,VRR,WCG,FirstActivity,POSType/Channel,SALES UNITS,SALES VALUE EUR,SALES VALUE SAR,PRICE EUR,PRICE SAR,UNW. AVG. DISTRIBUTION SELLING,WGT. AVG. DISTRIBUTION SELLING
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,DANSAT,DTE6522BU,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2,VERSION UNKNOWN,65,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,APRIL 2022,MASS MERCHANDISERS/DIYSS,13.686,5695,22821,416,1667,7.6,19.6
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,DANSAT,DTE6522BU,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2,VERSION UNKNOWN,65,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,APRIL 2022,MASS MERCHANDISERS/DIYSS,13.1734,5080,20854,386,1583,0.3,9.7
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,G-TEN,65 SMART,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,N.A.,VERSION UNKNOWN,65,SMART TV,ANDR/GOOGLE TV,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,NOVEMBER 2020,MASS MERCHANDISERS/DIYSS,15.807,5522,22128,349,1400,9.4,27.2
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,G-TEN,PRIVATE LABEL,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,N.A.,VERSION UNKNOWN,65,SMART TV,ANDR/GOOGLE TV,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,NOVEMBER 2020,MASS MERCHANDISERS/DIYSS,4.6243,1689,6932,365,1499,0.3,15.5
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,SAMSUNG,UA58CU7000,NO AIRPLAY,,UNKNOWN,175,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,58,SMART TV,SAMSUNG TIZEN,HDR10+,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U70,SMART APP CTRL.,60,N.A.,NO WCG,MAY 2023,TECSUPERSTORES + EL. CHAINS,443.5498,218598,897366,493,2023,17.7,48.9
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,SAMSUNG,UA70CU7000,NO AIRPLAY,,UNKNOWN,240,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,70,SMART TV,SAMSUNG TIZEN,HDR10+,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U70,SMART APP CTRL.,60,N.A.,NO WCG,APRIL 2023,TECSUPERSTORES + EL. CHAINS,561.58,358337,1471011,638,2619,8.3,31.7
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,LG,43LH590V,NO AIRPLAY,,0.3,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T/T2/S/C,HDMI 1.4,43,SMART TV,LG WEB OS,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,LG L59,SMART APP CTRL.,N.A.,N.A.,NO WCG,JULY 2016,TECSUPERSTORES + EL. CHAINS,5,1360,5450,272,1090,1.1,0.1
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,SAMSUNG,UA40F5300,NO AIRPLAY,,0.3,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T/C,VERSION UNKNOWN,40,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U53,SMART APP CTRL.,N.A.,N.A.,NO WCG,JUNE 2013,TECSUPERSTORES + EL. CHAINS,10.8,3099,12420,287,1150,2.4,0.1
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,SAMSUNG,UA43T5300,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T/S,VERSION UNKNOWN,43,SMART TV,SAMSUNG TIZEN,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U53,SMART APP CTRL.,N.A.,N.A.,NO WCG,JANUARY 2022,TECSUPERSTORES + EL. CHAINS,99,36636,146820,370,1483,11.6,33.7
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,SAMSUNG,UA43T5300,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T/S,VERSION UNKNOWN,43,SMART TV,SAMSUNG TIZEN,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U53,SMART APP CTRL.,N.A.,N.A.,NO WCG,JANUARY 2022,TECSUPERSTORES + EL. CHAINS,407.9483,96988,398144,238,976,14.8,20.2
